"Id";"Esfera";"Municipio";"Estado";"Nome";"Sigla";"Url Curta";"Gestão"
"uncme-552";"municipal";"Guaíba";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GUAÍBA - RS";"CME-GUAÍBA-RS";"guaiba-rs";"PRESIDENTE: GREISQUELE RIBEIRO BAPTISTA"
"uncme-553";"municipal";"Guaiúba";"CE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GUAIÚBA - CE";"CME-GUAIÚBA-CE";"guaiuba-ce";"PRESIDENTE: FRANCISCA EUGÊNIA NERES FONTOURA"
"uncme-554";"municipal";"Guajará-Mirim";"RO";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GUAJARÁ-MIRIM - RO";"CME-GUAJARÁ-MIRIM-RO";"guajaramirim-ro";"PRESIDENTE: LILIMAR LEMOS DE MOURA"
"uncme-555";"municipal";"Guajeru";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GUAJERU - BA";"CME-GUAJERU-BA";"guajeru-ba";"PRESIDENTE: MIGUEL JOSE DE SOUZA FILHO"
"uncme-556";"municipal";"Guanambi";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GUANAMBI - BA";"CME-GUANAMBI-BA";"guanambi-ba";"PRESIDENTE: IRENE CARVALHO DE BRITO COTRIM"
"uncme-557";"municipal";"Guapó";"GO";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GUAPÓ - GO";"CME-GUAPÓ-GO";"guapo-go";"PRESIDENTE: LUCIENE TORRES DA COSTA"
"uncme-558";"municipal";"Guaporé";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GUAPORÉ - RS";"CME-GUAPORÉ-RS";"guapore-rs";"PRESIDENTE: ROBERTO MENDES CAMARGO"
"uncme-559";"municipal";"Guaraciaba do Norte";"CE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GUARACIABA DO NORTE - CE";"CME-GUARACIABA-DO-NORTE-CE";"guaraciabadonorte-ce";"PRESIDENTE: GERSON MARTINS DA SILVA"
"uncme-560";"municipal";"Guarani das Missões";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GUARANI DAS MISSÕES - RS";"CME-GUARANI-DAS-MISSÕES-RS";"guaranidasmissoes-rs";"PRESIDENTE: JOSEANE NASCIMENTO"
"uncme-561";"municipal";"Guaratinga";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GUARATINGA - BA";"CME-GUARATINGA-BA";"guaratinga-ba";"PRESIDENTE: ORLANDY PEREIRA DA SILVA"
